0	20	95	105																																																																																																																																																																																																																																																																																																														
1	1	1	1.00E-18	1																																																																																																																																																																																																																																																																																																													
0	0.0033	58	169		19.37	20.129	20.94	21.563	22.037	21.999	21.617	20.863	20.231	19.442	18.752	18.007	17.603	17.032	16.425	15.513	14.793	13.897	13.115	12.316	11.926	11.548	11.189	10.652	10.232	9.712	9.209	8.692	8.42	8.182	7.951	7.616	7.363	7.007	6.661	6.262	6.044	5.874	5.797	5.708	5.777	5.856	5.992	6.066	6.249	6.369	6.465	6.334	6.195	5.889	5.615	5.276	5.126	4.99	4.981	4.916	4.922	4.848	4.78	4.704	4.685	4.661	4.642	4.636	4.669	4.669	4.653	4.638	4.682	4.688	4.68	4.606	4.615	4.577	4.583	4.563	4.649	4.728	4.792	4.763	4.755	4.725	4.711	4.749	4.925	5.158	5.414	5.639	5.906	6.127	6.367	6.599	6.912	7.158	7.365	7.452	7.569	7.624	7.75	7.879	8.146	8.413	8.715	8.912	9.129	9.269	9.448	9.645	9.98	10.326	10.674	10.923	11.153	11.242	11.29	11.303	11.435	11.547	11.656	11.708	11.837	11.922	12.019	12.12	12.348	12.583	12.802	12.926	13.059	13.13	13.207	13.316	13.559	13.825	14.064	14.184	14.246	14.174	14.058	13.951	13.995	14.106	14.283	14.432	14.591	14.638	14.624	14.563	14.563	14.562	14.567	14.522	14.487	14.409	14.335	14.283	14.354	14.432	14.475	14.393	14.282	14.079	13.863	13.663	13.632	13.652	13.701	13.692	13.721	13.633	13.474	13.246	13.077	12.794	12.386	11.789	11.158	10.424	9.724	9.089	8.696	8.404	8.198	7.906	7.621	7.207	6.773	6.282	5.893	5.543	5.275	5.039	4.901	4.807	4.713	4.647	4.591	4.542	4.442	4.337	4.25	4.172	4.115	4.084	4.127	4.155	4.215	4.225	4.291	4.278	4.313	4.315	4.406	4.427	4.469	4.45	4.51	4.547	4.639	4.722	end																																																																																
0.02	0.0033	58	169		19.429	20.336	21.304	22.055	22.607	22.566	22.182	21.439	20.789	19.944	19.191	18.375	17.835	17.1	16.365	15.418	14.679	13.807	13.09	12.391	12.049	11.666	11.323	10.834	10.467	9.979	9.556	9.128	8.935	8.721	8.54	8.256	8.032	7.633	7.231	6.752	6.43	6.125	5.956	5.85	5.941	6.05	6.211	6.32	6.498	6.579	6.626	6.493	6.357	6.05	5.772	5.439	5.274	5.092	5.065	5.014	5.071	5.017	4.991	4.929	4.918	4.842	4.809	4.813	4.899	4.932	4.978	5.008	5.066	5.028	4.976	4.866	4.834	4.742	4.719	4.691	4.754	4.795	4.852	4.852	4.883	4.868	4.878	4.918	5.074	5.241	5.462	5.696	6.027	6.321	6.655	6.977	7.354	7.617	7.815	7.898	8.006	8.034	8.117	8.188	8.37	8.531	8.731	8.839	8.969	9.009	9.09	9.167	9.36	9.533	9.745	9.886	10.049	10.064	10.076	10.053	10.156	10.215	10.313	10.385	10.573	10.699	10.863	11.02	11.304	11.555	11.819	11.997	12.219	12.36	12.536	12.743	13.094	13.432	13.755	13.955	14.104	14.085	14.016	13.948	14.029	14.157	14.361	14.546	14.757	14.847	14.884	14.876	14.928	14.984	15.069	15.134	15.216	15.243	15.25	15.244	15.311	15.352	15.354	15.257	15.142	14.936	14.708	14.482	14.386	14.319	14.278	14.205	14.181	14.06	13.886	13.66	13.483	13.192	12.809	12.273	11.713	11.053	10.44	9.88	9.505	9.172	8.904	8.559	8.213	7.738	7.265	6.754	6.346	5.954	5.659	5.419	5.298	5.198	5.103	5.016	4.934	4.828	4.688	4.562	4.481	4.403	4.364	4.343	4.386	4.386	4.429	4.43	4.494	4.475	4.519	4.528	4.606	4.599	4.619	4.604	4.666	4.714	4.817	4.915	end																																																																																
0.03	0.0033	58	169		19.272	20.026	20.794	21.383	21.809	21.76	21.413	20.794	20.238	19.483	18.72	17.889	17.325	16.632	15.931	15.063	14.366	13.514	12.713	11.915	11.468	11.064	10.697	10.247	9.895	9.449	8.986	8.53	8.293	8.114	7.953	7.732	7.546	7.215	6.828	6.389	6.114	5.927	5.862	5.855	5.971	6.064	6.127	6.112	6.156	6.166	6.175	6.055	5.922	5.642	5.358	5.033	4.859	4.717	4.707	4.698	4.745	4.692	4.603	4.511	4.467	4.438	4.439	4.511	4.626	4.695	4.709	4.716	4.745	4.735	4.697	4.621	4.584	4.49	4.405	4.321	4.318	4.353	4.394	4.411	4.412	4.376	4.307	4.278	4.333	4.447	4.611	4.811	5.075	5.304	5.555	5.827	6.201	6.554	6.911	7.215	7.559	7.818	8.087	8.331	8.676	9.022	9.387	9.65	9.874	9.945	9.955	9.923	9.969	10.022	10.088	10.087	10.06	9.87	9.625	9.346	9.214	9.111	9.102	9.108	9.241	9.328	9.45	9.57	9.831	10.104	10.411	10.648	10.91	11.073	11.237	11.432	11.785	12.174	12.565	12.848	13.069	13.092	13.02	12.93	13.011	13.191	13.488	13.797	14.126	14.289	14.322	14.264	14.248	14.246	14.278	14.309	14.354	14.316	14.212	14.099	14.094	14.121	14.152	14.123	14.095	13.969	13.794	13.611	13.57	13.585	13.643	13.681	13.748	13.691	13.526	13.291	13.088	12.804	12.429	11.925	11.374	10.71	10.026	9.38	8.915	8.552	8.283	7.985	7.693	7.292	6.863	6.4	6.024	5.704	5.471	5.3	5.195	5.085	4.93	4.779	4.637	4.51	4.376	4.28	4.221	4.151	4.093	4.056	4.086	4.117	4.187	4.236	4.305	4.28	4.256	4.208	4.226	4.221	4.256	4.29	4.385	4.46	4.556	4.635	end																																																																																
0.04	0.0033	58	169		20.002	20.759	21.548	22.153	22.575	22.557	22.215	21.552	20.911	20.117	19.312	18.418	17.745	17.014	16.297	15.418	14.671	13.84	13.059	12.297	11.834	11.477	11.155	10.764	10.418	10.02	9.584	9.143	8.849	8.626	8.408	8.137	7.879	7.53	7.14	6.715	6.421	6.237	6.161	6.14	6.217	6.319	6.401	6.417	6.462	6.497	6.531	6.429	6.303	6.056	5.81	5.504	5.311	5.147	5.104	5.056	5.05	4.993	4.917	4.86	4.82	4.813	4.804	4.864	4.92	4.962	4.943	4.941	4.929	4.912	4.855	4.777	4.72	4.641	4.576	4.525	4.544	4.619	4.688	4.717	4.704	4.668	4.58	4.531	4.549	4.663	4.824	5.033	5.287	5.548	5.826	6.131	6.507	6.888	7.269	7.602	7.97	8.313	8.701	9.104	9.617	10.174	10.751	11.214	11.606	11.854	12.018	12.107	12.212	12.29	12.337	12.266	12.111	11.783	11.381	10.934	10.597	10.289	10.065	9.861	9.774	9.675	9.632	9.614	9.744	9.92	10.139	10.29	10.461	10.57	10.7	10.876	11.202	11.588	11.977	12.259	12.47	12.53	12.527	12.535	12.707	12.989	13.369	13.733	14.081	14.268	14.328	14.299	14.306	14.334	14.389	14.426	14.472	14.459	14.404	14.353	14.412	14.508	14.584	14.575	14.54	14.419	14.235	14.046	13.984	13.987	14.009	13.997	14.005	13.922	13.753	13.524	13.325	13.058	12.703	12.215	11.669	11.045	10.422	9.849	9.421	9.098	8.843	8.548	8.21	7.776	7.288	6.765	6.289	5.893	5.584	5.367	5.217	5.135	5.024	4.945	4.837	4.758	4.638	4.541	4.429	4.338	4.253	4.2	4.189	4.202	4.264	4.314	4.376	4.38	4.395	4.388	4.415	4.424	4.458	4.491	4.56	4.621	4.698	4.767	end																																																																																
0.05	0.0033	58	169		19.603	20.468	21.349	22.031	22.489	22.435	22.023	21.317	20.673	19.891	19.125	18.311	17.755	17.104	16.421	15.542	14.819	14	13.24	12.512	12.104	11.778	11.433	10.986	10.582	10.116	9.611	9.139	8.844	8.625	8.386	8.099	7.831	7.473	7.068	6.659	6.382	6.201	6.106	6.069	6.145	6.246	6.348	6.396	6.474	6.512	6.525	6.403	6.255	6	5.748	5.476	5.316	5.202	5.186	5.19	5.227	5.211	5.147	5.095	5.042	5.001	4.941	4.95	4.982	5.011	4.994	5.001	5.016	5.016	4.969	4.891	4.838	4.758	4.68	4.621	4.618	4.66	4.678	4.665	4.62	4.57	4.484	4.465	4.519	4.658	4.819	5.02	5.272	5.527	5.806	6.122	6.524	6.907	7.283	7.603	7.985	8.345	8.78	9.26	9.876	10.532	11.204	11.761	12.236	12.55	12.752	12.895	13.052	13.157	13.171	13.035	12.8	12.371	11.858	11.328	10.955	10.624	10.362	10.109	9.985	9.856	9.782	9.745	9.853	9.996	10.153	10.231	10.322	10.361	10.44	10.6	10.934	11.334	11.738	12.039	12.275	12.353	12.364	12.4	12.606	12.91	13.286	13.635	13.968	14.139	14.182	14.164	14.211	14.29	14.379	14.436	14.504	14.516	14.486	14.473	14.591	14.742	14.851	14.845	14.799	14.66	14.462	14.276	14.228	14.24	14.249	14.199	14.149	13.986	13.734	13.453	13.237	12.967	12.602	12.107	11.558	10.926	10.274	9.686	9.251	8.927	8.648	8.347	8.028	7.646	7.212	6.769	6.368	6.042	5.756	5.553	5.402	5.315	5.173	5.078	4.959	4.876	4.729	4.62	4.512	4.44	4.361	4.336	4.354	4.395	4.44	4.468	4.505	4.49	4.48	4.468	4.506	4.533	4.571	4.597	4.661	4.714	4.78	4.842	end																																																																																
0.06	0.0033	58	169		19.911	20.699	21.565	22.25	22.744	22.732	22.366	21.627	20.908	20.057	19.293	18.486	17.929	17.25	16.531	15.561	14.734	13.832	13.086	12.388	12.054	11.786	11.518	11.07	10.648	10.144	9.653	9.165	8.878	8.657	8.452	8.163	7.915	7.579	7.246	6.882	6.661	6.5	6.416	6.346	6.388	6.455	6.545	6.596	6.702	6.784	6.842	6.74	6.604	6.347	6.114	5.842	5.7	5.587	5.587	5.561	5.568	5.502	5.42	5.338	5.272	5.211	5.142	5.116	5.116	5.114	5.109	5.134	5.191	5.226	5.229	5.167	5.128	5.044	4.995	4.936	4.932	4.928	4.903	4.804	4.689	4.575	4.486	4.48	4.586	4.78	5.005	5.233	5.494	5.753	6.045	6.348	6.711	7.044	7.362	7.604	7.912	8.249	8.733	9.293	10.013	10.784	11.588	12.258	12.861	13.342	13.791	14.203	14.642	15.02	15.297	15.353	15.227	14.864	14.403	13.865	13.414	12.947	12.541	12.091	11.746	11.388	11.149	10.958	10.95	10.984	11.083	11.104	11.17	11.21	11.343	11.576	11.992	12.455	12.894	13.172	13.339	13.34	13.299	13.304	13.502	13.824	14.248	14.646	15.031	15.274	15.426	15.518	15.663	15.822	15.987	16.083	16.158	16.159	16.136	16.122	16.233	16.363	16.458	16.421	16.34	16.167	15.971	15.794	15.765	15.784	15.803	15.743	15.674	15.499	15.268	15.007	14.799	14.513	14.128	13.568	12.928	12.192	11.481	10.826	10.336	9.935	9.599	9.183	8.729	8.187	7.646	7.095	6.625	6.238	5.935	5.697	5.523	5.422	5.313	5.248	5.158	5.094	4.973	4.857	4.732	4.636	4.565	4.532	4.543	4.563	4.601	4.607	4.631	4.609	4.624	4.636	4.7	4.729	4.755	4.741	4.762	4.774	4.82	4.87	end																																																																																
0.07	0.0033	58	169		20.178	20.961	21.816	22.477	22.972	22.932	22.583	21.877	21.267	20.485	19.822	19.097	18.652	18.019	17.367	16.447	15.683	14.766	13.982	13.211	12.796	12.401	12.049	11.556	11.154	10.642	10.159	9.662	9.375	9.095	8.846	8.521	8.283	7.928	7.594	7.211	6.983	6.762	6.633	6.505	6.536	6.565	6.665	6.724	6.903	7.014	7.125	7.026	6.915	6.598	6.309	5.939	5.749	5.561	5.549	5.521	5.583	5.538	5.489	5.4	5.333	5.231	5.153	5.123	5.161	5.171	5.179	5.183	5.223	5.205	5.173	5.078	5.059	4.993	4.985	4.95	4.993	5.01	5.014	4.925	4.843	4.737	4.663	4.646	4.749	4.892	5.068	5.22	5.433	5.605	5.842	6.084	6.443	6.735	7.046	7.258	7.58	7.884	8.363	8.906	9.663	10.46	11.34	12.097	12.836	13.442	14.033	14.572	15.147	15.624	15.988	16.109	16.048	15.712	15.254	14.702	14.244	13.74	13.272	12.733	12.296	11.815	11.445	11.115	10.997	10.918	10.925	10.851	10.844	10.786	10.825	10.939	11.249	11.59	11.958	12.199	12.402	12.442	12.476	12.539	12.797	13.118	13.527	13.881	14.239	14.433	14.555	14.623	14.783	14.953	15.14	15.259	15.391	15.452	15.504	15.568	15.778	15.991	16.156	16.16	16.118	15.959	15.773	15.603	15.601	15.633	15.657	15.583	15.507	15.299	15.023	14.721	14.503	14.194	13.771	13.163	12.494	11.714	10.959	10.281	9.811	9.442	9.154	8.806	8.458	8.01	7.567	7.089	6.703	6.346	6.08	5.843	5.712	5.601	5.513	5.425	5.356	5.271	5.158	5.029	4.928	4.821	4.74	4.673	4.663	4.639	4.654	4.637	4.675	4.643	4.664	4.659	4.739	4.753	4.806	4.814	4.903	4.965	5.075	5.167	end																																																																																
0.08	0.0033	58	169		19.692	20.403	21.199	21.869	22.403	22.474	22.201	21.543	20.869	20	19.201	18.394	17.884	17.259	16.613	15.705	14.894	13.918	13.069	12.284	11.895	11.571	11.302	10.89	10.528	10.042	9.577	9.13	8.891	8.683	8.461	8.131	7.802	7.355	6.914	6.492	6.255	6.111	6.073	6.06	6.15	6.232	6.359	6.473	6.68	6.822	6.925	6.814	6.629	6.245	5.878	5.502	5.314	5.162	5.146	5.115	5.125	5.046	4.959	4.898	4.88	4.86	4.829	4.825	4.831	4.808	4.784	4.807	4.887	4.947	4.982	4.935	4.892	4.782	4.703	4.636	4.652	4.699	4.739	4.711	4.644	4.558	4.476	4.486	4.601	4.785	4.962	5.101	5.225	5.301	5.407	5.564	5.843	6.108	6.368	6.536	6.754	6.948	7.281	7.71	8.369	9.122	9.97	10.732	11.482	12.135	12.795	13.458	14.198	14.889	15.476	15.828	15.978	15.849	15.585	15.237	14.961	14.62	14.249	13.747	13.256	12.668	12.138	11.654	11.372	11.153	11.012	10.801	10.633	10.421	10.305	10.3	10.514	10.784	11.076	11.238	11.348	11.294	11.234	11.238	11.467	11.792	12.193	12.537	12.857	13.016	13.096	13.166	13.35	13.579	13.816	13.974	14.092	14.111	14.093	14.101	14.262	14.458	14.629	14.667	14.667	14.566	14.444	14.361	14.455	14.599	14.732	14.768	14.783	14.66	14.452	14.231	14.093	13.871	13.502	12.91	12.196	11.339	10.478	9.711	9.173	8.778	8.472	8.117	7.741	7.28	6.829	6.39	6.056	5.789	5.597	5.438	5.32	5.216	5.098	5.022	4.953	4.902	4.808	4.722	4.625	4.529	4.449	4.422	4.454	4.482	4.527	4.529	4.537	4.465	4.43	4.414	4.486	4.53	4.594	4.628	4.696	4.733	4.793	4.851	end																																																																																
0.09	0.0033	58	169		19.831	20.403	21.028	21.521	21.903	21.927	21.649	21	20.352	19.583	18.873	18.08	17.542	16.922	16.283	15.335	14.461	13.472	12.613	11.766	11.291	10.952	10.72	10.351	10.012	9.599	9.19	8.752	8.473	8.283	8.122	7.882	7.634	7.308	6.97	6.596	6.353	6.199	6.141	6.069	6.082	6.106	6.187	6.228	6.363	6.475	6.571	6.447	6.226	5.839	5.458	5.062	4.84	4.738	4.795	4.86	4.935	4.951	4.912	4.858	4.799	4.782	4.756	4.758	4.745	4.735	4.698	4.682	4.692	4.732	4.754	4.716	4.669	4.597	4.541	4.484	4.484	4.545	4.595	4.566	4.471	4.361	4.237	4.164	4.181	4.307	4.477	4.641	4.815	4.981	5.172	5.36	5.604	5.837	6.055	6.173	6.319	6.472	6.755	7.112	7.672	8.367	9.186	9.952	10.728	11.46	12.217	12.981	13.821	14.659	15.419	15.962	16.294	16.352	16.219	15.924	15.617	15.231	14.8	14.231	13.664	13.026	12.447	11.899	11.542	11.291	11.146	10.952	10.795	10.62	10.51	10.468	10.587	10.795	11.03	11.159	11.227	11.181	11.123	11.104	11.28	11.593	12.016	12.403	12.763	12.968	13.068	13.105	13.218	13.398	13.617	13.791	13.946	14.042	14.099	14.153	14.32	14.548	14.761	14.851	14.878	14.814	14.7	14.573	14.57	14.64	14.728	14.743	14.742	14.635	14.44	14.188	13.964	13.666	13.237	12.601	11.85	10.995	10.157	9.396	8.858	8.487	8.243	7.951	7.64	7.251	6.858	6.423	6.051	5.76	5.54	5.352	5.191	5.099	4.992	4.925	4.838	4.81	4.727	4.651	4.535	4.45	4.354	4.293	4.265	4.278	4.303	4.305	4.306	4.274	4.257	4.24	4.276	4.321	4.385	4.428	4.498	4.56	4.636	4.701	end																																																																																
0.1	0.0033	58	169		19.717	20.555	21.433	22.11	22.57	22.52	22.112	21.381	20.716	19.965	19.296	18.575	18.086	17.447	16.733	15.748	14.903	13.963	13.148	12.356	11.927	11.576	11.266	10.846	10.511	10.124	9.737	9.349	9.126	8.938	8.728	8.438	8.172	7.808	7.431	7.016	6.746	6.531	6.404	6.302	6.346	6.415	6.535	6.607	6.764	6.863	6.926	6.79	6.618	6.297	5.99	5.657	5.477	5.354	5.347	5.353	5.388	5.376	5.314	5.259	5.182	5.123	5.043	5.032	5.04	5.065	5.072	5.096	5.126	5.131	5.104	5.018	4.978	4.92	4.906	4.877	4.9	4.936	4.941	4.867	4.776	4.687	4.602	4.575	4.636	4.771	4.919	5.073	5.276	5.485	5.728	5.991	6.323	6.631	6.909	7.109	7.363	7.63	8.016	8.471	9.106	9.853	10.7	11.484	12.26	12.95	13.615	14.239	14.901	15.542	16.122	16.523	16.753	16.726	16.519	16.163	15.803	15.369	14.91	14.365	13.866	13.325	12.843	12.398	12.115	11.889	11.713	11.472	11.263	11.021	10.837	10.738	10.823	10.988	11.18	11.287	11.368	11.32	11.238	11.176	11.302	11.531	11.863	12.19	12.552	12.796	12.955	13.063	13.242	13.446	13.652	13.809	13.963	14.053	14.101	14.165	14.358	14.585	14.772	14.837	14.859	14.77	14.623	14.482	14.502	14.586	14.687	14.732	14.799	14.741	14.57	14.34	14.15	13.863	13.42	12.796	12.091	11.288	10.472	9.745	9.229	8.862	8.578	8.274	7.966	7.586	7.175	6.737	6.354	6.037	5.779	5.589	5.463	5.404	5.321	5.271	5.186	5.116	4.975	4.854	4.723	4.625	4.532	4.487	4.483	4.491	4.517	4.531	4.576	4.577	4.599	4.616	4.685	4.725	4.776	4.809	4.896	4.978	5.086	5.185	end																																																																																
