0 20 130 140
0 0.0033 56 196	19.852	20.791	21.779	22.492	22.993	22.884	22.446	21.663	21.017	20.193	19.464	18.657	18.171	17.538	16.901	16.003	15.274	14.358	13.526	12.663	12.202	11.822	11.537	11.142	10.866	10.478	10.065	9.566	9.273	9.013	8.813	8.524	8.358	8.06	7.777	7.362	7.145	6.95	6.921	6.859	6.999	7.084	7.25	7.265	7.415	7.466	7.593	7.495	7.445	7.172	6.946	6.581	6.383	6.148	6.063	5.922	5.878	5.73	5.576	5.382	5.251	5.128	5.056	5.039	5.123	5.175	5.212	5.199	5.221	5.174	5.127	5.022	5.032	4.987	4.983	4.923	4.946	4.942	4.916	4.798	4.702	4.577	4.459	4.358	4.383	4.467	4.622	4.763	4.994	5.158	5.328	5.388	5.484	5.462	5.414	5.247	5.182	5.078	5.076	5.025	5.124	5.211	5.37	5.41	5.539	5.601	5.751	5.869	6.147	6.427	6.779	7.044	7.344	7.446	7.481	7.357	7.301	7.144	7.039	6.902	6.958	6.971	7.068	7.147	7.424	7.725	8.116	8.426	8.834	9.125	9.418	9.622	9.947	10.235	10.539	10.693	10.868	10.894	10.932	10.956	11.193	11.497	11.908	12.23	12.555	12.666	12.683	12.616	12.675	12.771	12.924	13.042	13.207	13.27	13.258	13.204	13.301	13.423	13.535	13.547	13.607	13.56	13.454	13.282	13.279	13.317	13.412	13.454	13.592	13.619	13.6	13.519	13.559	13.573	13.603	13.578	13.623	13.636	13.679	13.747	13.933	14.139	14.333	14.41	14.42	14.293	14.112	13.889	13.744	13.633	13.556	13.453	13.367	13.23	13.021	12.76	12.5	12.216	11.862	11.402	10.894	10.279	9.632	8.923	8.299	7.711	7.246	6.81	6.499	6.178	5.948	5.73	5.628	5.528	5.494	5.452	5.513	5.535	5.622	5.688	5.881	6.037	6.206	6.265	6.346	6.29	6.195	6.02	5.917	5.818	5.752	5.66	5.619	5.534	5.442	5.306	5.207	5.106	5.07	5.012	5.03	4.988	5.007	4.944	4.936	4.874	4.916	4.92	5.015	5.027	5.112	5.136	5.184	5.181	5.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.01 0.0033 56 196	18.827	19.802	20.837	21.654	22.246	22.254	21.818	20.982	20.175	19.246	18.393	17.56	17.038	16.459	15.845	15.006	14.272	13.416	12.648	11.928	11.569	11.303	11.061	10.709	10.396	9.996	9.548	9.089	8.796	8.567	8.325	8.021	7.753	7.41	7.058	6.682	6.475	6.365	6.367	6.381	6.513	6.637	6.782	6.833	6.956	7.03	7.111	6.996	6.861	6.583	6.335	6.026	5.859	5.728	5.707	5.656	5.629	5.545	5.416	5.275	5.139	5.032	4.924	4.882	4.881	4.895	4.881	4.868	4.859	4.824	4.748	4.642	4.587	4.531	4.495	4.472	4.5	4.555	4.547	4.478	4.369	4.266	4.126	4.035	4.024	4.108	4.21	4.319	4.474	4.631	4.786	4.897	5.019	5.076	5.062	4.932	4.822	4.706	4.658	4.613	4.663	4.746	4.861	4.894	4.957	4.99	5.094	5.207	5.452	5.715	6.015	6.233	6.451	6.519	6.521	6.437	6.409	6.329	6.245	6.144	6.154	6.161	6.215	6.305	6.555	6.862	7.215	7.511	7.859	8.144	8.428	8.693	9.064	9.438	9.783	9.993	10.163	10.213	10.244	10.294	10.519	10.831	11.216	11.542	11.849	11.994	12.049	12.07	12.194	12.376	12.579	12.762	12.953	13.061	13.074	13.063	13.161	13.272	13.338	13.314	13.32	13.252	13.136	13.001	13.024	13.097	13.197	13.257	13.389	13.437	13.427	13.384	13.435	13.466	13.472	13.423	13.417	13.403	13.418	13.489	13.681	13.92	14.144	14.267	14.313	14.246	14.114	13.94	13.802	13.673	13.528	13.345	13.16	12.967	12.737	12.515	12.301	12.079	11.75	11.317	10.78	10.158	9.481	8.789	8.147	7.563	7.054	6.593	6.218	5.879	5.631	5.455	5.384	5.34	5.317	5.281	5.283	5.264	5.272	5.3	5.418	5.539	5.64	5.677	5.7	5.657	5.573	5.49	5.458	5.474	5.472	5.468	5.444	5.412	5.326	5.235	5.129	5.037	4.933	4.819	4.721	4.621	4.572	4.526	4.525	4.527	4.587	4.632	4.702	4.722	4.788	4.853	4.943	5.018	5.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.02 0.0033 56 196	19.825	20.741	21.685	22.367	22.816	22.695	22.206	21.367	20.632	19.774	18.989	18.161	17.642	17.06	16.493	15.708	15.073	14.288	13.542	12.74	12.265	11.867	11.515	11.057	10.71	10.323	9.921	9.468	9.201	9.001	8.815	8.54	8.346	8.069	7.777	7.368	7.105	6.894	6.806	6.713	6.806	6.921	7.109	7.169	7.326	7.396	7.493	7.353	7.227	6.927	6.676	6.327	6.145	5.987	5.979	5.946	5.982	5.948	5.864	5.715	5.553	5.387	5.242	5.163	5.181	5.223	5.267	5.272	5.285	5.234	5.166	5.035	5.009	4.96	4.961	4.913	4.942	4.955	4.932	4.809	4.702	4.584	4.453	4.331	4.308	4.353	4.438	4.519	4.689	4.849	5.015	5.102	5.216	5.24	5.222	5.088	5.033	4.956	4.963	4.924	5	5.067	5.184	5.197	5.284	5.323	5.436	5.526	5.751	5.974	6.237	6.416	6.63	6.699	6.713	6.618	6.598	6.518	6.463	6.382	6.469	6.543	6.685	6.805	7.088	7.386	7.742	7.994	8.314	8.543	8.776	8.939	9.212	9.481	9.762	9.916	10.082	10.15	10.23	10.305	10.559	10.884	11.294	11.626	11.955	12.11	12.173	12.161	12.251	12.388	12.573	12.74	12.949	13.075	13.115	13.106	13.217	13.341	13.441	13.448	13.51	13.489	13.413	13.285	13.316	13.388	13.498	13.557	13.703	13.76	13.755	13.694	13.732	13.747	13.75	13.697	13.713	13.726	13.773	13.86	14.074	14.323	14.544	14.642	14.67	14.58	14.424	14.217	14.07	13.957	13.861	13.741	13.64	13.529	13.358	13.149	12.918	12.656	12.29	11.816	11.271	10.648	9.982	9.273	8.623	8.01	7.495	7.018	6.672	6.348	6.128	5.925	5.827	5.719	5.665	5.6	5.636	5.657	5.743	5.817	5.998	6.142	6.267	6.278	6.293	6.204	6.075	5.901	5.806	5.763	5.739	5.709	5.694	5.665	5.579	5.454	5.314	5.195	5.097	4.996	4.941	4.88	4.868	4.821	4.814	4.796	4.854	4.886	4.969	5.004	5.088	5.136	5.193	5.218	5.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.03 0.0033 56 196	19.216	20.143	21.135	21.906	22.449	22.426	21.966	21.09	20.263	19.344	18.54	17.731	17.241	16.661	16.044	15.15	14.391	13.5	12.728	11.989	11.649	11.383	11.132	10.741	10.415	10.013	9.556	9.079	8.779	8.556	8.309	8.007	7.79	7.549	7.302	7.002	6.839	6.72	6.651	6.534	6.55	6.589	6.711	6.772	6.958	7.086	7.217	7.103	6.972	6.662	6.403	6.079	5.924	5.79	5.768	5.69	5.634	5.5	5.327	5.14	4.978	4.849	4.742	4.69	4.711	4.743	4.779	4.789	4.827	4.813	4.781	4.673	4.651	4.598	4.594	4.545	4.571	4.586	4.572	4.458	4.352	4.244	4.14	4.061	4.082	4.175	4.283	4.365	4.493	4.609	4.723	4.788	4.878	4.9	4.853	4.694	4.597	4.511	4.509	4.502	4.608	4.706	4.799	4.766	4.789	4.791	4.889	5.015	5.307	5.623	5.961	6.201	6.451	6.564	6.623	6.591	6.626	6.59	6.54	6.429	6.443	6.443	6.519	6.618	6.895	7.198	7.518	7.72	7.963	8.127	8.303	8.459	8.755	9.064	9.356	9.497	9.626	9.659	9.708	9.775	10.035	10.376	10.787	11.108	11.424	11.579	11.67	11.707	11.86	12.034	12.221	12.348	12.497	12.562	12.566	12.562	12.706	12.873	13	13.013	13.052	13.003	12.91	12.795	12.859	12.966	13.092	13.142	13.255	13.266	13.229	13.163	13.237	13.3	13.351	13.329	13.367	13.392	13.456	13.57	13.823	14.105	14.342	14.429	14.431	14.316	14.149	13.942	13.808	13.711	13.623	13.489	13.364	13.235	13.068	12.887	12.706	12.516	12.216	11.797	11.282	10.685	10.039	9.352	8.71	8.09	7.529	6.971	6.523	6.113	5.836	5.618	5.545	5.49	5.475	5.422	5.436	5.432	5.486	5.54	5.699	5.835	5.939	5.932	5.922	5.835	5.729	5.61	5.563	5.551	5.516	5.443	5.36	5.273	5.154	5.049	4.966	4.919	4.873	4.797	4.748	4.681	4.66	4.611	4.615	4.604	4.645	4.639	4.673	4.669	4.729	4.782	4.866	4.937	5.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.04 0.0033 56 196	18.97	19.95	20.944	21.678	22.188	22.097	21.587	20.723	19.984	19.12	18.296	17.451	16.946	16.36	15.73	14.885	14.22	13.413	12.648	11.883	11.5	11.188	10.894	10.512	10.257	9.928	9.527	9.079	8.818	8.594	8.333	7.994	7.768	7.483	7.184	6.822	6.641	6.518	6.475	6.418	6.528	6.641	6.802	6.876	7.068	7.176	7.278	7.148	7.025	6.703	6.4	6.024	5.842	5.677	5.638	5.572	5.586	5.513	5.387	5.225	5.103	4.984	4.878	4.835	4.884	4.922	4.92	4.89	4.882	4.827	4.737	4.622	4.605	4.575	4.551	4.513	4.548	4.584	4.56	4.457	4.364	4.255	4.117	4.006	4.009	4.076	4.164	4.242	4.397	4.524	4.642	4.71	4.821	4.855	4.827	4.698	4.641	4.564	4.545	4.51	4.603	4.698	4.811	4.824	4.906	4.929	4.995	5.039	5.244	5.44	5.678	5.843	6.094	6.202	6.273	6.243	6.33	6.33	6.337	6.301	6.438	6.545	6.701	6.866	7.217	7.579	7.941	8.189	8.477	8.637	8.75	8.805	9.001	9.187	9.365	9.421	9.525	9.514	9.513	9.52	9.758	10.056	10.434	10.743	11.091	11.251	11.315	11.325	11.478	11.661	11.859	12.034	12.272	12.419	12.468	12.502	12.701	12.908	13.049	13.076	13.148	13.113	12.999	12.851	12.897	12.981	13.08	13.119	13.247	13.267	13.221	13.145	13.218	13.271	13.307	13.289	13.356	13.4	13.464	13.58	13.84	14.11	14.322	14.399	14.416	14.3	14.111	13.891	13.759	13.652	13.537	13.395	13.282	13.141	12.919	12.659	12.404	12.109	11.697	11.173	10.605	9.942	9.24	8.503	7.874	7.286	6.793	6.337	6.03	5.739	5.539	5.377	5.358	5.335	5.335	5.302	5.356	5.362	5.397	5.413	5.554	5.662	5.749	5.744	5.77	5.701	5.589	5.447	5.396	5.373	5.34	5.29	5.269	5.224	5.134	5.039	4.986	4.946	4.913	4.854	4.845	4.779	4.733	4.641	4.617	4.565	4.577	4.57	4.641	4.663	4.728	4.784	4.874	4.943	5.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.05 0.0033 56 196	19.492	20.413	21.367	22.042	22.486	22.33	21.867	21.09	20.446	19.641	18.948	18.188	17.708	17.067	16.445	15.593	14.898	14.006	13.209	12.38	11.897	11.441	11.078	10.655	10.374	10.017	9.651	9.231	8.971	8.713	8.456	8.123	7.891	7.576	7.276	6.902	6.697	6.526	6.477	6.423	6.541	6.635	6.797	6.853	7.024	7.098	7.219	7.125	7.048	6.751	6.495	6.125	5.912	5.679	5.614	5.529	5.527	5.434	5.327	5.177	5.045	4.898	4.793	4.755	4.807	4.843	4.874	4.871	4.89	4.845	4.797	4.708	4.705	4.652	4.623	4.548	4.533	4.498	4.452	4.345	4.265	4.166	4.077	4.005	4.03	4.097	4.221	4.346	4.541	4.686	4.836	4.908	4.992	4.962	4.892	4.727	4.632	4.508	4.48	4.444	4.543	4.63	4.773	4.811	4.904	4.908	4.976	5.006	5.183	5.341	5.587	5.769	6.027	6.117	6.187	6.134	6.177	6.121	6.133	6.132	6.337	6.517	6.786	7.046	7.465	7.857	8.259	8.525	8.823	8.974	9.102	9.15	9.316	9.461	9.622	9.648	9.695	9.617	9.559	9.49	9.614	9.806	10.121	10.388	10.695	10.831	10.916	10.937	11.08	11.233	11.436	11.617	11.858	11.999	12.076	12.127	12.328	12.527	12.698	12.761	12.86	12.834	12.749	12.624	12.68	12.771	12.916	13.017	13.197	13.248	13.242	13.188	13.247	13.268	13.299	13.289	13.354	13.392	13.477	13.608	13.862	14.113	14.334	14.422	14.433	14.293	14.099	13.857	13.687	13.526	13.397	13.252	13.149	13.015	12.836	12.616	12.386	12.099	11.722	11.245	10.731	10.113	9.475	8.787	8.192	7.601	7.121	6.669	6.364	6.051	5.848	5.67	5.617	5.546	5.532	5.508	5.587	5.617	5.708	5.771	5.936	6.021	6.1	6.07	6.062	5.92	5.767	5.583	5.495	5.421	5.379	5.33	5.309	5.234	5.131	5.017	4.941	4.873	4.868	4.86	4.913	4.888	4.899	4.824	4.786	4.681	4.68	4.65	4.707	4.69	4.756	4.79	4.857	4.884	4.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.06 0.0033 56 196	18.811	19.755	20.714	21.42	21.916	21.822	21.376	20.609	19.99	19.204	18.478	17.679	17.182	16.525	15.833	14.913	14.202	13.347	12.593	11.845	11.492	11.176	10.894	10.5	10.236	9.852	9.424	8.947	8.68	8.446	8.213	7.914	7.716	7.42	7.093	6.705	6.484	6.319	6.255	6.21	6.341	6.463	6.63	6.709	6.901	7.003	7.123	7.031	6.958	6.666	6.399	6.047	5.871	5.69	5.653	5.606	5.637	5.559	5.423	5.263	5.126	4.981	4.845	4.793	4.83	4.852	4.829	4.788	4.763	4.69	4.589	4.471	4.445	4.394	4.347	4.305	4.338	4.384	4.383	4.332	4.278	4.194	4.057	3.957	3.95	4.002	4.066	4.144	4.295	4.417	4.514	4.576	4.673	4.686	4.631	4.492	4.43	4.343	4.306	4.268	4.367	4.465	4.582	4.611	4.714	4.748	4.816	4.866	5.067	5.248	5.462	5.596	5.797	5.833	5.827	5.728	5.751	5.699	5.692	5.684	5.885	6.074	6.341	6.647	7.15	7.667	8.189	8.597	9.021	9.278	9.446	9.527	9.708	9.846	9.947	9.906	9.88	9.716	9.553	9.415	9.52	9.706	9.999	10.245	10.54	10.654	10.698	10.703	10.861	11.043	11.249	11.422	11.648	11.777	11.829	11.884	12.115	12.374	12.588	12.693	12.82	12.812	12.71	12.558	12.584	12.649	12.757	12.825	12.99	13.033	13.017	12.968	13.061	13.125	13.191	13.219	13.327	13.402	13.486	13.614	13.86	14.095	14.259	14.288	14.25	14.072	13.827	13.564	13.411	13.291	13.194	13.086	13.028	12.937	12.776	12.584	12.406	12.191	11.873	11.457	10.999	10.433	9.812	9.139	8.545	7.952	7.429	6.923	6.555	6.182	5.903	5.673	5.593	5.511	5.471	5.425	5.484	5.49	5.524	5.55	5.701	5.807	5.891	5.891	5.927	5.85	5.716	5.561	5.501	5.467	5.421	5.371	5.354	5.307	5.204	5.099	5.023	4.958	4.904	4.847	4.843	4.789	4.76	4.698	4.693	4.648	4.671	4.677	4.758	4.762	4.803	4.827	4.888	4.921	4.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.07 0.0033 56 196	19.169	20.066	20.972	21.63	22.087	21.995	21.544	20.75	20.091	19.292	18.561	17.745	17.261	16.665	16.075	15.218	14.537	13.673	12.88	12.029	11.542	11.124	10.789	10.37	10.075	9.695	9.276	8.799	8.51	8.274	8.067	7.807	7.649	7.401	7.113	6.737	6.51	6.354	6.292	6.246	6.358	6.481	6.627	6.664	6.802	6.887	7.011	6.922	6.845	6.574	6.324	5.952	5.741	5.549	5.523	5.469	5.483	5.402	5.275	5.091	4.923	4.765	4.649	4.602	4.639	4.666	4.669	4.635	4.62	4.563	4.508	4.415	4.409	4.363	4.34	4.285	4.3	4.319	4.317	4.254	4.202	4.133	4.044	3.985	4.024	4.131	4.261	4.379	4.547	4.669	4.76	4.783	4.832	4.816	4.761	4.619	4.533	4.424	4.368	4.291	4.329	4.391	4.514	4.561	4.67	4.719	4.807	4.851	5.006	5.16	5.357	5.481	5.627	5.628	5.565	5.408	5.34	5.246	5.228	5.235	5.443	5.66	5.971	6.307	6.842	7.417	8.044	8.565	9.093	9.449	9.701	9.819	9.984	10.095	10.175	10.105	10.038	9.836	9.637	9.433	9.455	9.567	9.815	10.016	10.277	10.363	10.386	10.336	10.43	10.569	10.783	10.997	11.288	11.505	11.647	11.757	11.993	12.24	12.438	12.523	12.63	12.623	12.538	12.405	12.451	12.555	12.713	12.82	13.022	13.107	13.122	13.064	13.124	13.149	13.175	13.142	13.188	13.22	13.283	13.395	13.641	13.918	14.157	14.271	14.303	14.194	14.006	13.773	13.625	13.517	13.446	13.357	13.315	13.245	13.106	12.926	12.766	12.609	12.381	12.072	11.714	11.262	10.725	10.092	9.482	8.863	8.303	7.736	7.274	6.801	6.417	6.058	5.836	5.64	5.528	5.431	5.431	5.405	5.414	5.417	5.524	5.617	5.717	5.749	5.805	5.761	5.676	5.543	5.477	5.425	5.382	5.318	5.277	5.2	5.081	4.935	4.816	4.714	4.654	4.588	4.59	4.553	4.552	4.498	4.5	4.477	4.526	4.542	4.623	4.636	4.682	4.689	4.716	4.719	4.741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.08 0.0033 56 196	19.032	19.89	20.765	21.404	21.806	21.706	21.276	20.56	19.895	19.128	18.425	17.698	17.212	16.649	16.072	15.261	14.505	13.544	12.626	11.712	11.149	10.709	10.376	10.024	9.765	9.438	9.049	8.645	8.388	8.209	8.033	7.812	7.629	7.364	7.05	6.661	6.381	6.179	6.089	6.022	6.089	6.173	6.312	6.371	6.505	6.596	6.73	6.677	6.594	6.337	6.099	5.792	5.597	5.442	5.425	5.42	5.425	5.368	5.25	5.125	4.971	4.839	4.723	4.696	4.713	4.727	4.712	4.686	4.658	4.592	4.513	4.412	4.372	4.311	4.262	4.214	4.214	4.244	4.24	4.198	4.127	4.057	3.942	3.872	3.858	3.93	4.022	4.135	4.277	4.405	4.515	4.584	4.646	4.638	4.573	4.432	4.33	4.218	4.165	4.122	4.169	4.232	4.319	4.331	4.371	4.365	4.394	4.426	4.567	4.737	4.947	5.102	5.257	5.284	5.249	5.138	5.088	5.011	4.99	4.983	5.125	5.285	5.54	5.869	6.394	7.005	7.685	8.303	8.915	9.385	9.758	10.043	10.35	10.584	10.723	10.669	10.535	10.23	9.901	9.589	9.506	9.538	9.721	9.883	10.094	10.151	10.155	10.114	10.201	10.35	10.565	10.779	11.03	11.203	11.298	11.378	11.583	11.821	12.032	12.156	12.298	12.344	12.316	12.258	12.351	12.494	12.669	12.793	12.961	13.013	12.997	12.947	13.001	13.044	13.1	13.129	13.21	13.282	13.383	13.548	13.809	14.087	14.313	14.42	14.426	14.302	14.109	13.902	13.773	13.697	13.653	13.6	13.552	13.469	13.312	13.126	12.932	12.745	12.496	12.19	11.818	11.371	10.861	10.295	9.733	9.159	8.612	8.047	7.528	6.988	6.52	6.109	5.829	5.606	5.477	5.392	5.394	5.384	5.411	5.443	5.556	5.644	5.719	5.717	5.714	5.616	5.485	5.335	5.257	5.222	5.198	5.178	5.156	5.117	5.03	4.946	4.853	4.784	4.734	4.686	4.655	4.584	4.55	4.49	4.467	4.426	4.465	4.492	4.55	4.546	4.576	4.596	4.631	4.659	4.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
0.09 0.0033 56 196	18.775	19.781	20.795	21.515	21.985	21.851	21.342	20.504	19.838	19.076	18.394	17.617	17.114	16.459	15.76	14.792	14.011	13.105	12.291	11.463	11.005	10.623	10.284	9.872	9.593	9.283	8.922	8.546	8.34	8.193	8.011	7.763	7.584	7.323	7.008	6.605	6.333	6.111	5.982	5.877	5.959	6.071	6.244	6.327	6.503	6.596	6.703	6.599	6.496	6.206	5.939	5.582	5.382	5.209	5.199	5.201	5.282	5.285	5.227	5.102	4.953	4.774	4.609	4.526	4.55	4.589	4.617	4.618	4.626	4.565	4.474	4.345	4.313	4.259	4.234	4.19	4.214	4.237	4.226	4.155	4.089	4.011	3.902	3.819	3.812	3.867	3.939	4.02	4.165	4.285	4.39	4.426	4.481	4.445	4.372	4.217	4.152	4.07	4.053	4	4.048	4.076	4.143	4.136	4.218	4.26	4.36	4.433	4.626	4.797	5.005	5.142	5.334	5.381	5.376	5.239	5.168	5	4.888	4.777	4.908	5.075	5.403	5.793	6.425	7.115	7.882	8.565	9.276	9.823	10.247	10.516	10.774	10.916	10.949	10.799	10.623	10.305	9.979	9.657	9.571	9.572	9.715	9.834	10.048	10.112	10.118	10.049	10.108	10.195	10.336	10.487	10.737	10.942	11.087	11.205	11.452	11.699	11.9	12.002	12.153	12.21	12.193	12.121	12.2	12.307	12.435	12.518	12.69	12.764	12.766	12.716	12.769	12.792	12.815	12.823	12.935	13.055	13.207	13.407	13.717	14.018	14.247	14.345	14.373	14.262	14.064	13.818	13.654	13.52	13.406	13.291	13.237	13.169	13.029	12.839	12.647	12.429	12.13	11.765	11.378	10.92	10.398	9.804	9.234	8.637	8.066	7.489	7.013	6.537	6.139	5.773	5.538	5.331	5.202	5.104	5.132	5.161	5.241	5.287	5.405	5.462	5.498	5.439	5.419	5.33	5.232	5.108	5.062	5.044	5.026	4.999	4.997	4.983	4.918	4.829	4.746	4.67	4.607	4.54	4.53	4.484	4.463	4.39	4.358	4.288	4.285	4.27	4.329	4.338	4.39	4.418	4.467	4.488	4.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	end
